1522273864.229975,0
1522273865.252842,1
1522273866.370921,1
1522273867.4907598,0
1522273868.608503,1
1522273869.723089,1
1522273870.835861,1
1522273871.952686,1
1522273873.0696719,1
1522273874.182822,1
1522273875.2952168,1
1522273876.40799,1
1522273877.518958,1
1522273878.6351979,1
1522273879.749077,0
1522273880.86463,0
1522273881.979537,0
1522273883.0906408,1
1522273884.208496,1
1522273885.324339,0
1522273886.438057,1
1522273887.552789,0
1522273888.663145,1
1522273889.77901,0
1522273890.893286,1
1522273892.005761,1
1522273893.11109,1
1522273894.2253299,0
1522273895.3460522,0
1522273896.457958,1
1522273897.5763142,0
1522273898.6907158,0
1522273899.807265,1
1522273900.924384,0
1522273902.0366201,0
1522273903.151841,0
1522273904.2665012,0
1522273905.38123,1
1522273906.5001118,1
1522273907.612185,0
1522274114.736324,0
1522274115.8452349,1
1522274116.957962,1
1522274118.0698738,0
1522274119.185832,1
1522274120.2963421,1
1522274121.412606,1
1522274122.5253491,0
1522274123.6420858,1
1522274124.7575989,0
1522274125.869789,1
1522274126.9808939,0
1522274128.093715,1
1522274129.216022,0
1522274130.331226,0
1522274131.445285,0
1522274132.55858,1
1522274133.672842,0
1522274134.786509,0
1522274135.893335,0
1522274136.999097,1
1522274138.119343,0
1522274139.235151,1
1522274140.348858,0
1522274141.462485,0
1522274142.573587,1
1522274143.686142,1
1522274144.797447,0
1522274145.9153228,1
1522274147.031192,0
1522274148.145062,0
1522274149.26116,0
1522274150.374203,0
1522274151.489918,1
1522274152.5982878,1
1522274153.711918,1
1522274154.827803,0
1522274155.942157,0
1522274157.0597398,0
1522274158.173995,0
